t:0.0117,S:4.364228959038884,Sloc:4.364228959038884,Sloc(species):0.0,Sum:4.364228959038884
t:0.0118,S:4.364077962247989,Sloc:4.364077962247989,Sloc(species):0.0,Sum:4.364077962247989
t:0.0119,S:4.364077962247989,Sloc:4.364077962247989,Sloc(species):0.0,Sum:4.364077962247989
t:0.012,S:4.364077962247989,Sloc:4.364077962247989,Sloc(species):0.0,Sum:4.364077962247989
t:0.0121,S:4.364077962247989,Sloc:4.364077962247989,Sloc(species):0.0,Sum:4.364077962247989
t:0.0122,S:4.364222809686474,Sloc:4.364222809686474,Sloc(species):0.0,Sum:4.364222809686474
t:0.0123,S:4.364222809686474,Sloc:4.364222809686474,Sloc(species):0.0,Sum:4.364222809686474
t:0.0124,S:4.3645011327820775,Sloc:4.3645011327820775,Sloc(species):0.0,Sum:4.3645011327820775
t:0.0125,S:4.3645011327820775,Sloc:4.3645011327820775,Sloc(species):0.0,Sum:4.3645011327820775
t:0.0126,S:4.364526217959215,Sloc:4.364526217959215,Sloc(species):0.0,Sum:4.364526217959215
t:0.0127,S:4.3645039862439825,Sloc:4.3645039862439825,Sloc(species):0.0,Sum:4.3645039862439825
t:0.0128,S:4.364306453022006,Sloc:4.364306453022006,Sloc(species):0.0,Sum:4.364306453022006
t:0.0129,S:4.3640792158174735,Sloc:4.3640792158174735,Sloc(species):0.0,Sum:4.3640792158174735
t:0.013,S:4.3640792158174735,Sloc:4.3640792158174735,Sloc(species):0.0,Sum:4.3640792158174735
t:0.0131,S:4.364121269513106,Sloc:4.364121269513106,Sloc(species):0.0,Sum:4.364121269513106
t:0.0132,S:4.364121269513106,Sloc:4.364121269513106,Sloc(species):0.0,Sum:4.364121269513106
t:0.0133,S:4.363964485221626,Sloc:4.363964485221626,Sloc(species):0.0,Sum:4.363964485221626
t:0.0134,S:4.363964485221626,Sloc:4.363964485221626,Sloc(species):0.0,Sum:4.363964485221626
t:0.0135,S:4.363964485221626,Sloc:4.363964485221626,Sloc(species):0.0,Sum:4.363964485221626
t:0.0136,S:4.363964485221626,Sloc:4.363964485221626,Sloc(species):0.0,Sum:4.363964485221626
t:0.0137,S:4.363964485221626,Sloc:4.363964485221626,Sloc(species):0.0,Sum:4.363964485221626
t:0.0138,S:4.363964485221626,Sloc:4.363964485221626,Sloc(species):0.0,Sum:4.363964485221626
t:0.0139,S:4.363940962702375,Sloc:4.363940962702375,Sloc(species):0.0,Sum:4.363940962702375
t:0.014,S:4.363940962702375,Sloc:4.363940962702375,Sloc(species):0.0,Sum:4.363940962702375
t:0.0141,S:4.363940962702375,Sloc:4.363940962702375,Sloc(species):0.0,Sum:4.363940962702375
t:0.0142,S:4.3641034576493265,Sloc:4.3641034576493265,Sloc(species):0.0,Sum:4.3641034576493265
